연번,년도,학기,학년,분반,개설학부,교과목코드,교과구분,학점부여,교과목명,학점,담당교원,요일/시간
1,2015,1,2,1,인문예술학부,HA2301,인문계열교과선택,일반,English Communication,3,김주환,월6|화2|금2
2,2015,1,2,1,화학생물학부,CB4201,자연계열교과선택,일반,감염과면역,3,권창섭,월1|화8|목4
3,2015,1,3,1,수리정보과학부,MC321,자연계열교과선택,일반,객체지향프로그래밍,3,김용주,월4|수2|수3
4,2015,1,3,2,수리정보과학부,MC321,자연계열교과선택,일반,객체지향프로그래밍,3,김용주,화4|목6|목7
5,2015,1,2,1,수리정보과학부,MC1104,자연계열교과필수,일반,고급미적분학1,5,김종민,월10|화9|화10|수4|금3
6,2015,1,2,2,수리정보과학부,MC1104,자연계열교과필수,일반,고급미적분학1,5,전영철,월7|화1|목9|목10|금6
7,2015,1,3,1,수리정보과학부,MC316,자연계열교과필수,일반,고급미적분학3,4,김용덕,월2|월3|수6|목8
8,2015,1,3,2,수리정보과학부,MC316,자연계열교과필수,일반,고급미적분학3,4,김종민,화6|화7|목1|금4
9,2015,1,3,1,인문예술학부,HA234,인문계열교과선택,일반,고급영어독해,2,김주환,화7|목1
10,2015,1,3,2,인문예술학부,HA234,인문계열교과선택,일반,고급영어독해,2,김주환,화4|목7
11,2015,1,3,3,인문예술학부,HA234,인문계열교과선택,일반,고급영어독해,2,김주환,수4|금3
12,2015,1,3,4,인문예술학부,HA234,인문계열교과선택,일반,고급영어독해,2,김주환,수7|목3
13,2015,1,3,1,인문예술학부,HA233,인문계열교과선택,일반,고급영어회화,2,Theresa Barrett,월4|수3
14,2015,1,3,2,인문예술학부,HA233,인문계열교과선택,일반,고급영어회화,2,Theresa Barrett,화4|목7
